name,sec_per_op,CI
Gol/16x16x1-1-8,0.00329461,43%
Gol/16x16x1-2-8,0.00321498,24%
Gol/16x16x1-3-8,0.0036111845,10%
Gol/16x16x1-4-8,0.0033006940000000003,17%
Gol/16x16x1-5-8,0.0033610425000000005,75%
Gol/16x16x1-6-8,0.0028341145,28%
Gol/16x16x1-7-8,0.0030779745000000004,22%
Gol/16x16x1-8-8,0.0026295400000000005,29%
Gol/16x16x1-9-8,0.002806612,24%
Gol/16x16x1-10-8,0.002684095,13%
Gol/16x16x1-11-8,0.0026564120000000004,14%
Gol/16x16x1-12-8,0.0025469180000000004,14%
Gol/16x16x1-13-8,0.0026917930000000005,26%
Gol/16x16x1-14-8,0.0026833355,25%
Gol/16x16x1-15-8,0.002755693,14%
Gol/16x16x1-16-8,0.0028332245000000002,18%
Gol/16x16x50-1-8,0.0054503935,26%
Gol/16x16x50-2-8,0.0054302225,9%
Gol/16x16x50-3-8,0.005130954,4%
Gol/16x16x50-4-8,0.004966042,18%
Gol/16x16x50-5-8,0.0050504585000000005,7%
Gol/16x16x50-6-8,0.0052879525,23%
Gol/16x16x50-7-8,0.005287453500000001,11%
Gol/16x16x50-8-8,0.0049115755,7%
Gol/16x16x50-9-8,0.0050678355,18%
Gol/16x16x50-10-8,0.005164058500000001,10%
Gol/16x16x50-11-8,0.0058502845000000005,30%
Gol/16x16x50-12-8,0.0055583130000000005,15%
Gol/16x16x50-13-8,0.005605276,21%
Gol/16x16x50-14-8,0.00571356,15%
Gol/16x16x50-15-8,0.0052706015,10%
Gol/16x16x50-16-8,0.0048797215,18%
Gol/16x16x100-1-8,0.007552751000000001,1%
Gol/16x16x100-2-8,0.007742713000000001,9%
Gol/16x16x100-3-8,0.006918811,10%
Gol/16x16x100-4-8,0.006845208,21%
Gol/16x16x100-5-8,0.006698579500000001,8%
Gol/16x16x100-6-8,0.0068463215000000004,9%
Gol/16x16x100-7-8,0.006883117,17%
Gol/16x16x100-8-8,0.007134284,21%
Gol/16x16x100-9-8,0.006702866500000001,11%
Gol/16x16x100-10-8,0.0072160855,13%
Gol/16x16x100-11-8,0.006785244500000001,20%
Gol/16x16x100-12-8,0.007241563000000001,21%
Gol/16x16x100-13-8,0.0076524735000000005,14%
Gol/16x16x100-14-8,0.007198943500000001,20%
Gol/16x16x100-15-8,0.007103583500000001,18%
Gol/16x16x100-16-8,0.0074331005,7%
Gol/64x64x1-1-8,0.013387817,9%
Gol/64x64x1-2-8,0.012704611000000001,10%
Gol/64x64x1-3-8,0.0129841375,12%
Gol/64x64x1-4-8,0.012771447000000002,6%
Gol/64x64x1-5-8,0.014171540000000002,20%
Gol/64x64x1-6-8,0.0127393765,30%
Gol/64x64x1-7-8,0.0129413045,12%
Gol/64x64x1-8-8,0.013146732000000001,12%
Gol/64x64x1-9-8,0.012608392,32%
Gol/64x64x1-10-8,0.016166278,289%
Gol/64x64x1-11-8,0.01596432,23%
Gol/64x64x1-12-8,0.013563944000000001,23%
Gol/64x64x1-13-8,0.012522223,29%
Gol/64x64x1-14-8,0.013139394000000002,9%
Gol/64x64x1-15-8,0.0127970875,5%
Gol/64x64x1-16-8,0.012675217,21%
Gol/64x64x50-1-8,0.0325393405,11%
Gol/64x64x50-2-8,0.026058803000000002,7%
Gol/64x64x50-3-8,0.027756969500000003,11%
Gol/64x64x50-4-8,0.025615683,8%
Gol/64x64x50-5-8,0.0252769615,8%
Gol/64x64x50-6-8,0.025252947500000004,6%
Gol/64x64x50-7-8,0.025614374000000002,10%
Gol/64x64x50-8-8,0.025203197500000003,22%
Gol/64x64x50-9-8,0.029533813000000003,17%
Gol/64x64x50-10-8,0.025251823,11%
Gol/64x64x50-11-8,0.0240162825,7%
Gol/64x64x50-12-8,0.025209889,11%
Gol/64x64x50-13-8,0.0248013295,6%
Gol/64x64x50-14-8,0.024341848500000002,9%
Gol/64x64x50-15-8,0.026147301,10%
Gol/64x64x50-16-8,0.024514495000000004,5%
Gol/64x64x100-1-8,0.0518743705,3%
Gol/64x64x100-2-8,0.0406100245,11%
Gol/64x64x100-3-8,0.042268054,11%
Gol/64x64x100-4-8,0.035973594,4%
Gol/64x64x100-5-8,0.037289265,4%
Gol/64x64x100-6-8,0.03775519200000001,6%
Gol/64x64x100-7-8,0.038433067,12%
Gol/64x64x100-8-8,0.037944377,4%
Gol/64x64x100-9-8,0.03712763250000001,14%
Gol/64x64x100-10-8,0.037833143,7%
Gol/64x64x100-11-8,0.0414522425,24%
Gol/64x64x100-12-8,0.041353981,23%
Gol/64x64x100-13-8,0.039292727,5%
Gol/64x64x100-14-8,0.0410001615,13%
Gol/64x64x100-15-8,0.037697256000000005,5%
Gol/64x64x100-16-8,0.036243935000000005,3%
Gol/512x512x1-1-8,0.7110408260000001,10%
Gol/512x512x1-2-8,0.6991679155,9%
Gol/512x512x1-3-8,0.6758419125,5%
Gol/512x512x1-4-8,0.6769683585,11%
Gol/512x512x1-5-8,0.6943425235,11%
Gol/512x512x1-6-8,0.6630457890000001,4%
Gol/512x512x1-7-8,0.673502678,4%
Gol/512x512x1-8-8,0.688577467,7%
Gol/512x512x1-9-8,0.6911389455000001,9%
Gol/512x512x1-10-8,0.6835315135,5%
Gol/512x512x1-11-8,0.6743944550000001,3%
Gol/512x512x1-12-8,0.663923941,5%
Gol/512x512x1-13-8,0.7068440200000001,9%
Gol/512x512x1-14-8,0.7114640695000001,9%
Gol/512x512x1-15-8,0.708724951,10%
Gol/512x512x1-16-8,0.6828430435000001,1%
Gol/512x512x50-1-8,1.7979468075000002,6%
Gol/512x512x50-2-8,1.282338804,4%
Gol/512x512x50-3-8,1.150604989,5%
Gol/512x512x50-4-8,1.0901281525000002,6%
Gol/512x512x50-5-8,1.116361619,6%
Gol/512x512x50-6-8,1.1099949105000002,13%
Gol/512x512x50-7-8,1.2339246890000002,20%
Gol/512x512x50-8-8,1.230313937,12%
Gol/512x512x50-9-8,1.0917949085,12%
Gol/512x512x50-10-8,1.0750987965,7%
Gol/512x512x50-11-8,1.061233142,21%
Gol/512x512x50-12-8,1.17864003,11%
Gol/512x512x50-13-8,1.1468993260000002,9%
