name,sec_per_op,CI
Gol/Gol/16x16x1-1-8-8,0.1769311205,2%
Gol/Gol/16x16x1-2-8-8,0.17417198550000002,13%
Gol/Gol/16x16x1-3-8-8,0.17340070700000002,7%
Gol/Gol/16x16x1-4-8-8,0.172295474,3%
Gol/Gol/16x16x1-5-8-8,0.17296747550000002,1%
Gol/Gol/16x16x1-6-8-8,0.17311871550000002,1%
Gol/Gol/16x16x1-7-8-8,0.1735626655,6%
Gol/Gol/16x16x1-8-8-8,0.17325499100000002,24%
Gol/Gol/16x16x1-9-8-8,0.17529071400000001,2%
Gol/Gol/16x16x1-10-8-8,0.17402259650000002,3%
Gol/Gol/16x16x1-11-8-8,0.17466611,2%
Gol/Gol/16x16x1-12-8-8,0.1739498865,20%
Gol/Gol/16x16x1-13-8-8,0.17361231700000002,3%
Gol/Gol/16x16x1-14-8-8,0.17331273500000002,7%
Gol/Gol/16x16x1-15-8-8,0.174847007,578%
Gol/Gol/16x16x1-16-8-8,0.1776496995,6%
Gol/Gol/16x16x50-1-8-8,0.19836214600000002,9%
Gol/Gol/16x16x50-2-8-8,0.20089041700000002,4%
Gol/Gol/16x16x50-3-8-8,0.199298371,2%
Gol/Gol/16x16x50-4-8-8,0.19931908650000002,2%
Gol/Gol/16x16x50-5-8-8,0.200646389,5%
Gol/Gol/16x16x50-6-8-8,0.20194048800000003,1%
Gol/Gol/16x16x50-7-8-8,0.207787871,30%
Gol/Gol/16x16x50-8-8-8,0.208749853,23%
Gol/Gol/16x16x50-9-8-8,0.2012356495,10%
Gol/Gol/16x16x50-10-8-8,0.20087933600000002,4%
Gol/Gol/16x16x50-11-8-8,0.20079948050000002,5%
Gol/Gol/16x16x50-12-8-8,0.200498658,2%
Gol/Gol/16x16x50-13-8-8,0.2006722965,2%
Gol/Gol/16x16x50-14-8-8,0.201085221,4%
Gol/Gol/16x16x50-15-8-8,0.200521314,509%
Gol/Gol/16x16x50-16-8-8,0.201378428,5%
Gol/Gol/16x16x100-1-8-8,0.229547361,2%
Gol/Gol/16x16x100-2-8-8,0.23176995900000003,5%
Gol/Gol/16x16x100-3-8-8,0.23038126800000003,2%
Gol/Gol/16x16x100-4-8-8,0.2387328045,5%
Gol/Gol/16x16x100-5-8-8,0.2379605405,5%
Gol/Gol/16x16x100-6-8-8,0.241972393,5%
Gol/Gol/16x16x100-7-8-8,0.2252019765,7%
Gol/Gol/16x16x100-8-8-8,0.22979164800000002,4%
Gol/Gol/16x16x100-9-8-8,0.225182501,3%
Gol/Gol/16x16x100-10-8-8,0.2280075485,1%
Gol/Gol/16x16x100-11-8-8,0.23041216400000003,4%
Gol/Gol/16x16x100-12-8-8,0.233961301,4%
